有效头计数,实时RSSI,x,y
1,-39,20.92843525176147,4.046219301739495
2,-57,8.237994899451737,88.35735623096663
3,-75,75.5720009845817,39.83687728011738
4,-82,84.36213122595402,45.10660862125976
5,-79,91.52870645835397,82.77699994172002
6,-80,6.915637196747544,28.88304284586113
7,-80,87.8995781379832,66.0161954821834
8,-91,43.83157977177934,4.805199834807623
9,-86,43.47675675148513,47.8149208903065
10,-89,69.0672852113974,72.80753793635763
11,-105,58.82593292272797,70.76484464619877
12,-94,92.64717258323182,84.86919194282392
13,-83,64.89355967845914,50.37768411538924
14,-81,98.51571542232287,51.48560732490404
15,-92,8.347485038555735,86.38020126143886
16,-99,1.395916237971008,23.13043958059298
17,-75,70.18213857278623,36.06857496196928
18,-86,56.10825942190252,28.12504403673546
19,-86,23.63916932029685,33.61310245511787
20,-83,36.27756545099159,73.04439345546292
21,-81,78.30463265975736,40.00064947765753
22,-57,88.43832955659356,23.40456443231841
23,-71,57.71765196947173,29.35810177294698
24,-92,83.52121660292588,5.18844443158879
25,-95,97.74699047988487,95.73591643521733
26,-99,51.61827583011133,8.652345611904737
27,-93,64.11897961659382,87.28016680882573
28,-95,95.30892081797369,49.16914037444194
29,-109,56.08232730443314,59.15187282533993
30,-107,72.80480270367623,7.892644958065987
31,-107,3.66886267169801,59.19558495200351
32,-107,82.32611266083474,52.89351370020037
33,-106,51.91388041631338,90.07926750866723
34,-107,82.8703539925283,5.780709783488843
35,-107,19.86975135881345,82.55384533372872
36,-102,18.91040404726771,14.62620608430985
37,-100,28.24432771079103,62.41054854752726
38,-99,47.65821294719368,70.43391104147113
39,-94,25.14540390237481,42.77356879930774
40,-94,18.52564100810803,31.69102950725649
41,-87,15.51785785041252,40.30484145079599
42,-81,88.98511057083199,69.17502500346195
43,-78,99.71208004878528,5.263511368183461
44,-65,72.0858339300975,53.52360788341009
45,-55,96.4021084401366,4.852137974981735
46,-56,55.19161642433607,6.514287628072353
47,-95,61.57949040489066,35.4145430414404
48,-92,89.59680358959838,5.256076816124765
49,-92,24.62038396724676,45.66647289858339
50,-90,21.11838434838248,87.47380699052133
51,-98,26.80886450346175,86.04400962554811
52,-106,11.78222251708424,69.92414830148233
53,-103,26.00598705198349,9.117779568652224
54,-104,22.87909967780883,63.2886280835924
55,-105,38.80772520680937,53.90313663567373
56,-98,70.66354858283006,47.77077271148955
57,-95,76.10796143558278,21.45313851469461
58,-98,20.85555677564148,30.96277610084368
59,-97,80.98672301533351,57.53123202394831
60,-96,35.2687078832824,40.04270907791148
61,-94,72.18139167570548,76.73673093172488
62,-91,38.2861613746244,89.87960874787666
63,-75,82.45443420130326,50.76444723821781
64,-70,48.81129972529022,96.91836031995621
65,-62,48.53331686768585,77.41535988716457
66,-71,86.23086897259354,5.056421431343646
67,-76,35.37999900007141,57.43847315830839
68,-81,32.78336101781898,75.29146878780844
69,-86,81.06253181702165,88.14236044673969
70,-93,82.45652123891661,29.89877385546927
71,-103,34.55574862744852,32.2837335538645
72,-95,74.2210027266285,77.76066685948415
73,-105,0.436644497813354,16.13268838431417
74,-100,1.153760834764603,17.25476805713932
75,-109,29.82056467042521,70.18054973461498
76,-109,38.66473906131192,16.37009413679885
77,-108,16.47495594013111,1.143804001228627
78,-110,39.4903001043966,13.12692113341619
79,-106,93.95200603005762,44.25280110219151
80,-107,51.40399747269574,24.68138618847932
81,-107,63.06702679238502,9.077333983738608
82,-107,11.29116749595113,52.79354323321535
83,-106,21.53352657287238,95.9677090065545
84,-105,72.07790423432479,14.31953148210599
85,-106,64.21138147145386,51.20203225189154
86,-105,53.74576321301364,42.67828004167991
87,-96,13.21642512552118,24.92569543532569
88,-93,79.79570497348057,65.81018520530326
89,-89,55.54906770911575,51.52052152274569
90,-90,61.82628299718491,72.91204885830717
91,-84,62.4393471807693,8.713112564707167
92,-73,42.28703763906213,34.6223597152761
93,-59,83.67690247025062,67.18370156100158
94,-49,31.64215474041636,38.63603156795914
95,-45,22.3382787483865,65.20055310618307
96,-30,99.72980992780543,52.99589020811496
