有效头计数,实时RSSI,x,y
1,-37,33.01783915853549,10.8914898035015
2,-29,66.58657453526875,73.18303950160336
3,-37,54.558388529941,65.86034935642405
4,-61,64.93369152795765,69.02536672889994
5,-64,81.4763578544559,94.25145939403194
6,-74,78.47962182044391,42.76824992205314
7,-81,98.99526991903737,59.3383228101657
8,-82,44.08765107169163,18.89693526180399
9,-90,12.90773139343006,93.4217491880812
10,-101,61.53019745213184,8.98846969445199
11,-100,11.39766696580899,62.12475215473133
12,-109,21.774208067686,8.04161181703871
13,-106,84.37690588276195,98.30957876902643
14,-107,61.14161435303554,96.42813779530972
15,-106,59.196383233548,9.748836989551787
16,-107,21.18711554816506,99.79685096955447
17,-106,48.95528974131072,51.17609919662512
18,-107,85.44722393192973,79.91937669932726
19,-107,14.37565202015115,43.99543854200847
20,-109,75.53533047620013,44.05419031958663
21,-106,25.12471250078383,7.06430183746417
22,-106,96.48730353602795,23.41350890414244
23,-104,84.78279746208092,57.80529054091316
24,-100,59.42259070004186,94.97387680202486
25,-96,35.51460557090208,86.53547222390449
26,-84,64.0038989876522,43.72048804962302
27,-73,35.887725502883,48.68180643466079
28,-72,35.48960097383345,97.73250133861748
29,-80,0.2186030409844434,39.92561003059236
30,-91,83.79588512599025,24.20313955347095
31,-87,83.29362912658705,71.90168490914847
32,-102,37.4542248059087,68.59106386848977
33,-103,23.98008800408168,70.51961528036712
34,-107,69.52032715202894,44.243051661348
35,-107,4.883636964098539,33.15449147423914
36,-100,85.99985428103324,73.46390700852061
37,-109,23.03130414156822,62.05728390803424
38,-106,45.53558446282057,80.39527715260948
39,-109,69.26599776872494,91.52611547980437
40,-109,61.64790033834477,42.53865949337808
41,-109,36.62544442510932,98.77559494606261
42,-107,0.1484535120783914,76.52052414750253
43,-107,72.00213834471333,16.90275471138168
44,-109,37.92121901407178,11.73427129748561
45,-105,19.06048159193643,25.60809584398904
46,-106,15.73676307897865,95.53377738278634
47,-109,60.82014531327057,61.78228635770336
48,-106,71.25343935257354,6.233009849575915
49,-106,40.57951851454257,19.35376395795051
50,-107,43.90410166122677,42.9792232739149
51,-107,14.56640406858266,64.01719419194976
52,-101,79.87409817848277,85.6212908493381
53,-91,36.72489177133116,53.75838975000892
54,-98,6.01049765173091,43.75674907503099
55,-80,57.17207124656637,47.83336006805531
56,-83,10.8605747404246,44.50932992795065
57,-79,1.166181463072366,81.60665259506243
58,-106,41.70750863098503,58.68351585132895
59,-107,78.28737892380416,83.4384413454161
60,-98,70.68303208721062,37.05999711849235
61,-107,25.61139262113788,37.10333861285037
62,-107,86.72626924115409,19.28312772714758
63,-109,26.63578307770765,7.310916306702737
64,-104,31.25487875355896,27.69429534109541
65,-100,30.23265064315334,75.1998591097518
66,-84,21.95333799672994,16.27486288366863
67,-76,33.76499098518494,23.59099667514415
68,-84,47.04850608676158,16.841146566117
69,-73,71.61517469252064,16.69490590042628
70,-97,11.71004253865735,51.19607128729219
71,-94,6.248622501355405,83.78355100998569
72,-99,74.72548355817607,59.1907180582843
73,-103,79.18903219455186,13.66801181380481
74,-105,30.14815524011584,83.33073217526564
75,-109,45.10053734331686,23.55954359415877
76,-109,39.15885410026948,62.63664502655246
77,-115,83.98906788603267,31.54076606662343
78,-106,44.35383234579991,60.46961099462438
79,-106,54.76036664167276,72.17467638182445
80,-107,25.78605015005875,9.98057025592987
81,-107,41.42802697890157,76.04182337501265
82,-109,83.53604280055104,52.88253754899013
83,-111,15.88764752903831,41.03190040403825
84,-107,1.414494001738122,4.621296276836834
85,-107,14.80422508445628,31.34970530637663
86,-109,36.0041673122557,86.71123813876011
87,-107,9.641266344181076,81.02326432450386
88,-109,0.6420170644664993,53.17025035362897
89,-107,44.77111116257922,92.92540415502003
90,-107,66.16745194417803,11.34648410851585
91,-111,49.02549429191519,93.21430894914926
92,-107,68.28056117242703,82.17329615819835
93,-107,82.65086657694944,94.81113091043495
94,-96,68.05175248201577,26.71555171214423
95,-104,52.41013394899473,14.18776663456402
96,-99,25.65481316432824,57.80815030299752
97,-91,64.03072947379908,72.67891501093496
98,-102,6.606426368988683,4.754049255421927
99,-97,23.2979130456126,22.52018896144466
100,-84,79.68649265936895,95.14108048477715
101,-80,7.682662003450043,68.47687210654061
102,-88,55.00261262184123,27.88314797037309
103,-76,68.09851074131817,35.36351370259079
104,-75,31.77979776246057,61.24548367086392
105,-71,52.94852869971115,0.5016823591037308
106,-69,74.78707380327985,62.4221609554715
107,-57,96.20821566428725,41.09981734101857
108,-44,3.469688648627654,26.42157736069761
