feature,label,true_x,true_y
[-0.76186395 -0.84439665 -0.8572528   0.28188905  0.9166667   0.16666667],0,13.653,13.407
[-0.74756366 -0.8328304  -0.8448318   0.29924268  0.9166667   0.16666667],0,13.653,13.407
[-0.7722272  -0.87628275 -0.8825993   0.27278647  0.9166667   0.16666667],0,13.653,13.407
[-0.5431269  -1.         -0.4766074   0.2881011   0.9166667   0.16666667],0,13.653,13.407
[-0.75344574 -0.84372294 -0.853603    0.27248952  0.9166667   0.16666667],0,13.653,13.407
[-0.74838394 -0.83771443 -0.866435    0.308471    0.9166667   0.16666667],0,13.653,13.407
[-0.7720647  -0.86638653 -0.875208    0.29472896  0.9166667   0.16666667],0,13.653,13.407
[-0.75830805 -0.82842284 -0.8525401   0.3339036   0.9166667   0.16666667],0,13.653,13.407
[-0.7667229  -0.8684597  -0.8664981   0.2784481   0.9166667   0.16666667],0,13.653,13.407
[-0.77675    -0.8360088  -0.8312014   0.2952811   0.9166667   0.16666667],0,13.653,13.407
[-0.7807747  -0.8855262  -0.8917749   0.25952685  0.9166667   0.16666667],0,13.653,13.407
[-0.757778   -0.8315979  -0.83422965  0.2994688   0.9166667   0.16666667],0,13.653,13.407
[-0.7806186  -0.8579118  -0.87047786  0.30478394  0.9166667   0.16666667],0,13.653,13.407
[-0.76026845 -0.8340359  -0.83011425  0.34481212  0.9166667   0.16666667],0,13.653,13.407
[-0.77977014 -0.82022303 -0.827929    0.34012297  0.9166667   0.16666667],0,13.653,13.407
[-0.7712664  -0.8490514  -0.86853236  0.30685955  0.9166667   0.16666667],0,13.653,13.407
[-0.7774612  -0.82373524 -0.83933854  0.26134357  0.9166667   0.16666667],0,13.653,13.407
[-0.7487082  -0.8606748  -0.85465664  0.26554382  0.9166667   0.16666667],0,13.653,13.407
[-0.7701276  -0.8480698  -0.8732729   0.26203203  0.9166667   0.16666667],0,13.653,13.407
[-0.75286484 -0.8436132  -0.8472244   0.3110701   0.9166667   0.16666667],0,13.653,13.407
[-0.77103126 -0.85258067 -0.8604197   0.29009432  0.9166667   0.16666667],0,13.653,13.407
[-0.73449105 -0.81789845 -0.8644034   0.2735232   0.9166667   0.16666667],0,13.653,13.407
[-0.76360095 -0.8479333  -0.852237    0.29215115  0.9166667   0.16666667],0,13.653,13.407
[-0.63856053 -0.97455746 -0.76577693  0.07679242  0.9166667   0.16666667],0,13.653,13.407
[-0.7937807  -0.85255617 -0.8666769   0.34639612  0.9166667   0.16666667],0,13.653,13.407
[-0.7754768  -0.8301905  -0.8290044   0.2872951   0.9166667   0.16666667],0,13.653,13.407
[-0.78482497 -0.8532156  -0.84971786  0.30503714  0.9166667   0.16666667],0,13.653,13.407
[-0.8031479  -0.83044887 -0.8203776   0.34395018  0.9166667   0.16666667],0,13.653,13.407
[-0.7848335  -0.84672594 -0.8596943   0.3018727   0.9166667   0.16666667],0,13.653,13.407
[-0.7603085  -0.8364779  -0.84932375  0.32729748  0.9166667   0.16666667],0,13.653,13.407
